"","ResponseId","course","evound1","evound2","evound3","evound4","evound5","evound6","evound7","evound8","evound9","evound10","evound11","evound12","evound13","evound14","micro1","micro2","micro3","micro4","micro5","micro6","micro7","micro8","macro1","macro2","macro3","macro4","macro5","macro6","macro7","macro8","human1","human2","human3","human4","human5","human6","human7","human8","rel1","rel2","rel3","rel4","rel","evound","microaccept","macroaccept","humaccept","evoaccept","relthirds"
"21","R_0CKNLX0DIqSKich",64,0,0,1,1,0,0,1,1,1,0,1,0,1,1,5,4,3,5,5,5,4,5,5,5,5,4,4,4,4,3,5,4,4,5,5,4,4,3,1,3,2,3,2.25,0.571428571428571,4.5,4.25,4.25,4.33333333333333,"mod"
"22","R_0cxDHaZ0DWA3eHn",30,1,1,0,0,1,1,0,1,0,1,1,0,0,0,2,4,4,3,4,4,3,4,3,4,4,3,4,3,4,2,3,2,3,4,3,3,4,3,5,5,5,3,4.5,0.5,3.5,3.375,3.125,3.33333333333333,"high"
"23","R_0cyHEIgJQ7pastr",56,1,0,1,1,1,1,0,1,1,1,1,0,1,0,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,3,5,5,5,5,5,3,4,3,4,5,5,5,4.75,0.714285714285714,5,4.375,4.375,4.58333333333333,"high"
"24","R_0cZlEOTIXPjMflf",78,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,3,3,4,3,2,3,3,2,3,2,3,4,5,4,3,3,3,3,2,1,1,3,3,5,5,5,5,5,0.142857142857143,3.125,3.25,2.375,2.91666666666667,"high"
"25","R_0dCMy3GUi2TzWZr",1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,4,4,3,4,4,3,3,3,4,3,2,4,3,3,2,2,2,2,3,3,2,3,3,2,3,2,3,2.5,0.857142857142857,3.625,3,2.5,3.04166666666667,"mod"
"26","R_0DnZzWt3fvYo6wV",48,1,1,0,1,1,1,1,1,1,1,1,1,1,0,4,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,5,5,5,1,1,1,1,1,0.857142857142857,4.875,4.625,4.875,4.79166666666667,"low"
"27","R_0do1we7cEhlBHDX",33,1,0,0,0,1,1,1,1,1,1,1,0,1,1,4,5,5,4,5,5,4,4,5,3,3,4,4,3,4,1,3,2,3,3,3,3,4,4,5,5,5,5,5,0.714285714285714,4.5,3.375,3.125,3.66666666666667,"high"
"28","R_0dYwFwNsHf7RXwd",35,1,0,1,1,1,0,1,1,0,1,0,0,0,0,5,5,4,4,4,4,5,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,3,2,3,2,2,2.25,0.5,4.375,3.625,3.875,3.95833333333333,"mod"
"29","R_0enBLY6ul1MiheV",62,1,0,1,1,1,1,1,1,0,1,1,1,1,0,4,4,4,5,4,5,5,5,4,3,4,4,5,3,4,4,5,2,4,5,2,2,4,4,1,2,1,2,1.5,0.785714285714286,4.5,3.875,3.5,3.95833333333333,"low"
"30","R_0etFUGjuYn4H0m5",4,0,0,1,1,1,1,0,1,0,1,1,1,1,0,4,4,5,4,4,4,4,3,4,3,3,2,4,2,4,4,1,1,1,2,1,1,3,2,5,5,5,5,5,0.642857142857143,4,3.25,1.5,2.91666666666667,"high"
"31","R_0eUrKQmEXVtyD5L",36,0,0,1,1,0,1,0,1,0,1,0,1,1,0,5,4,4,5,5,4,3,4,4,4,3,3,4,3,3,5,3,4,4,4,3,3,4,3,5,5,5,5,5,0.5,4.25,3.625,3.5,3.79166666666667,"high"
"32","R_0fa75LARFwyDIRP",7,1,0,1,1,1,1,1,0,1,1,1,1,1,0,5,5,5,5,5,4,5,4,5,5,5,3,4,4,5,5,4,4,5,5,5,4,5,5,2,3,2,3,2.5,0.785714285714286,4.75,4.5,4.625,4.625,"mod"
"33","R_0fwfI0CTsJrqtSp",16,0,0,1,1,1,0,0,1,0,1,0,1,0,0,5,5,4,5,5,5,5,5,5,5,5,3,5,5,4,3,3,4,4,4,5,5,5,4,1,2,1,2,1.5,0.428571428571429,4.875,4.375,4.25,4.5,"low"
"34","R_0GLcegAAlBCnxHH",30,0,1,0,1,0,0,1,1,0,1,0,1,1,0,4,4,4,4,4,3,4,3,4,3,3,3,5,3,3,2,3,3,3,3,4,4,3,4,3,5,4,4,4,0.5,3.75,3.25,3.375,3.45833333333333,"high"
"35","R_0GtIJUGBjoDDfvX",48,0,0,0,0,1,1,1,1,0,1,1,1,0,0,4,5,4,4,4,4,5,4,5,4,5,5,5,3,5,5,5,3,3,2,4,4,2,4,1,1,1,5,2,0.5,4.25,4.625,3.375,4.08333333333333,"low"
"36","R_0H3Sj3CBr0RPlxD",76,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,2,2,2,4,2.5,0.928571428571429,4.875,4.625,5,4.83333333333333,"mod"
"37","R_0H41bHJfgYPCd0J",33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5,4,5,5,5,5,5,5,5,5,4,3,3,5,3.75,1,5,4.25,5,4.75,"mod"
"38","R_0H9Ysw3GZrpp9f3",56,1,0,1,1,1,0,1,1,1,1,1,1,0,1,4,4,4,4,4,4,4,3,4,3,3,2,4,4,4,3,2,2,4,2,2,4,2,4,4,4,4,4,4,0.785714285714286,3.875,3.375,2.75,3.33333333333333,"high"
"39","R_0HcJj0LZKRcpa3D",14,1,0,1,0,1,1,1,1,1,1,1,0,1,0,4,5,5,5,5,4,5,4,4,5,5,3,5,5,5,4,5,5,5,4,5,4,4,4,1,3,1,1,1.5,0.714285714285714,4.625,4.5,4.5,4.54166666666667,"low"
"40","R_0HDgTmGItJ8mbYZ",28,1,0,1,1,1,1,1,1,0,1,0,0,0,0,4,1,5,3,4,3,5,3,1,3,2,3,2,3,3,3,1,3,4,2,2,3,1,1,3,5,4,4,4,0.571428571428571,3.5,2.5,2.125,2.70833333333333,"high"
"41","R_0HeKZZBLi9SY9AR",56,1,1,0,1,1,1,1,1,1,1,1,1,0,1,4,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,5,4,4,4,5,4,1,4,2,2,2.25,0.857142857142857,4.75,4.25,4.25,4.41666666666667,"mod"
"42","R_0HfJ3CYX60CgcyB",61,1,1,0,1,1,1,1,1,1,1,0,0,0,0,4,5,5,5,5,4,4,5,5,4,4,4,4,4,5,4,5,4,5,3,4,4,4,5,3,5,3,3,3.5,0.642857142857143,4.625,4.25,4.25,4.375,"mod"
"43","R_0HSmTzKfheyy1CF",68,1,0,1,1,1,1,1,1,1,0,1,0,1,0,5,4,5,5,5,5,5,5,3,4,4,4,4,3,4,4,5,5,5,5,5,5,4,4,1,3,2,4,2.5,0.714285714285714,4.875,3.75,4.75,4.45833333333333,"mod"
"44","R_0HY9cTwE0IZobMl",55,1,1,1,0,1,1,0,1,1,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,4.25,0.642857142857143,5,5,5,5,"high"
"45","R_0iAJceiTu1yQo6Z",55,0,0,1,1,0,1,1,1,1,1,1,1,0,0,4,2,5,5,4,4,4,4,4,4,4,2,4,4,5,2,4,4,4,4,4,4,3,2,3,5,4,4,4,0.642857142857143,4,3.625,3.625,3.75,"high"
"46","R_0iBvO8JltfWwIOB",78,0,0,1,1,1,1,1,1,0,1,1,1,1,0,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,2,4,4,3,4,4,4,4,4,2,4,2,4,3,0.714285714285714,4,3.5,3.875,3.79166666666667,"mod"
"47","R_0iD5OfiManIOjGF",58,1,0,1,0,1,1,1,0,0,0,1,0,0,0,5,1,1,5,5,1,5,1,1,5,1,1,1,5,1,1,1,5,5,1,1,5,1,1,4,4,4,4,4,0.428571428571429,3,2,2.5,2.5,"high"
"48","R_0IGcVejhEPP8z7z",48,1,1,1,1,1,1,1,1,0,1,1,1,1,1,5,5,5,4,4,5,5,5,5,2,5,5,4,4,5,4,5,3,4,5,3,4,4,4,1,1,1,4,1.75,0.928571428571429,4.75,4.25,4,4.33333333333333,"low"
"49","R_0iz8JC7O9n59Slr",56,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4,4,4,4,5,5,4,5,5,4,4,4,5,4,5,3,5,4,4,3,4,4,4,2,1,3,2,2,2,0.857142857142857,4.375,4.25,3.75,4.125,"low"
"50","R_0j0X68GfegwCeXv",80,1,0,1,1,1,1,1,1,0,1,1,1,1,1,5,5,5,4,4,4,4,2,4,2,4,2,4,3,2,2,2,2,1,2,2,2,2,3,5,5,5,5,5,0.857142857142857,4.125,2.875,2,3,"high"
"51","R_0J52dh59KCSBqLL",56,0,0,1,1,0,1,1,1,1,1,1,0,1,0,5,5,4,5,4,4,4,4,5,4,3,4,4,4,4,1,4,3,4,4,4,4,4,4,2,3,3,3,2.75,0.642857142857143,4.375,3.625,3.875,3.95833333333333,"mod"
"52","R_0J7oHVgiLx6jHhL",40,0,0,1,1,1,1,1,1,1,1,1,0,1,0,2,5,3,2,4,3,5,3,4,2,4,3,4,4,5,3,4,2,3,4,4,3,4,4,4,4,4,4,4,0.714285714285714,3.375,3.625,3.5,3.5,"high"
"53","R_0jFNeuS731tXPax",48,1,0,0,1,1,1,1,1,0,1,1,1,1,0,5,5,5,4,5,5,4,4,4,4,4,5,4,3,4,3,4,5,5,4,5,4,4,3,1,3,1,4,2.25,0.714285714285714,4.625,3.875,4.25,4.25,"mod"
"54","R_0jGMuVinnJTD0rf",69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,5,5,4,5,5,5,5,5,4,4,5,3,2,5,5,5,5,5,5,4,4,1,3,1,1,1.5,1,4.625,4.125,4.75,4.5,"low"
"55","R_0jJM0RCCNawm8Bb",37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,1,5,1,4,1,1,1,1,1,1,2,1,5,5,5,5,5,5,1,5,1.875,1.625,2.83333333333333,"high"
"56","R_0Jkp8Hjg2qQ7pfj",7,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,4,5,4,3,3,2,4,4,5,3,3,3,3,4,3,4,2,4,4,5,4,3,4,0.928571428571429,4.875,3.5,3.25,3.875,"high"
"57","R_0JkynDJQjaqyjgR",44,1,0,1,1,1,1,1,1,0,1,1,1,1,0,4,5,5,4,5,4,5,4,4,4,4,1,4,4,4,2,3,2,4,3,2,2,3,4,5,5,5,5,5,0.785714285714286,4.5,3.375,2.875,3.58333333333333,"high"
"58","R_0k1Dlegy4Cp03U5",78,0,1,1,1,0,1,1,1,1,1,1,1,1,0,4,5,4,5,5,5,5,5,4,5,5,5,4,5,5,4,4,4,4,5,4,5,5,5,2,3,2,2,2.25,0.785714285714286,4.75,4.625,4.5,4.625,"mod"
"59","R_0k5X20OYwD3ZQ8V",15,0,0,1,1,1,1,1,1,0,1,1,1,1,0,5,5,5,5,5,5,5,5,5,3,4,3,5,3,5,2,5,4,4,5,5,4,5,5,3,4,4,4,3.75,0.714285714285714,5,3.75,4.625,4.45833333333333,"mod"
"60","R_0kacJC9GYeKag9P",56,0,1,1,1,0,1,0,1,0,0,0,0,0,1,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,2,4,3,3,4,3,3,3,3,3,3,0.428571428571429,3.75,3.875,3.375,3.66666666666667,"mod"
"61","R_0kPhRgDiBn2BI1r",33,0,0,1,1,1,1,1,1,1,1,0,1,1,0,5,5,5,5,5,5,5,5,4,5,4,4,5,4,4,4,4,4,4,3,4,4,3,4,2,5,4,4,3.75,0.714285714285714,5,4.25,3.75,4.33333333333333,"mod"
"62","R_0kSv5r4SnDeouZz",8,0,0,1,1,1,1,1,1,1,1,1,1,1,0,5,5,4,4,5,4,5,3,5,4,3,3,5,3,5,3,4,3,4,4,4,3,5,4,4,4,2,4,3.5,0.785714285714286,4.375,3.875,3.875,4.04166666666667,"mod"
"63","R_0kv0r2G8FnZ3yfL",73,0,0,1,0,1,1,1,1,1,1,1,0,0,0,4,5,5,4,5,1,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,4,5,5,3,5,3,3,3.5,0.571428571428571,4.25,4.875,4.625,4.58333333333333,"mod"
"64","R_0kvmowgbDbi0CR3",63,1,0,1,1,1,1,1,1,0,1,1,1,1,0,5,5,5,4,5,5,5,4,3,3,3,2,3,3,4,2,1,3,2,1,3,3,2,4,3,5,5,3,4,0.785714285714286,4.75,2.875,2.375,3.33333333333333,"high"
"65","R_0kzszcylYXSWOFb",70,1,1,1,1,1,1,1,1,0,1,1,1,1,0,4,4,4,4,4,4,4,1,2,2,2,1,2,1,3,1,1,1,1,1,3,3,1,4,4,5,3,3,3.75,0.857142857142857,3.625,1.75,1.875,2.41666666666667,"mod"
"66","R_0l9SkKXa0uibxkd",49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,4.625,5,4.875,"low"
"67","R_0ljK7OABqNt7Qpb",15,1,1,1,1,1,1,1,0,1,1,1,1,1,1,4,4,4,5,5,5,4,4,4,4,4,3,4,4,4,2,4,2,4,4,4,2,3,4,4,5,4,4,4.25,0.928571428571429,4.375,3.625,3.375,3.79166666666667,"high"
"68","R_0MMbIW4HcDDP03L",16,0,0,1,1,1,1,0,0,1,0,1,1,1,0,2,2,4,4,2,3,4,4,4,4,4,4,2,3,2,4,4,4,3,4,2,2,4,4,4,5,4,4,4.25,0.571428571428571,3.125,3.375,3.375,3.29166666666667,"high"
"69","R_0MURJMVvHNCQYj7",48,0,1,1,1,1,1,1,1,0,1,1,1,1,1,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,5,5,4.25,0.857142857142857,5,3,3,3.66666666666667,"high"
"70","R_0NSglkhFSbTzxN7",40,0,0,1,1,1,1,1,1,0,1,1,0,1,1,5,5,5,4,4,3,4,3,4,3,4,3,4,4,4,3,3,4,4,4,4,4,2,4,2,4,3,5,3.5,0.714285714285714,4.125,3.625,3.625,3.79166666666667,"mod"
"71","R_0NUGJ5SMfgLiD2V",50,0,1,1,1,0,1,0,1,0,1,0,0,0,0,4,5,4,4,4,4,3,4,3,3,4,3,4,4,4,3,4,3,3,4,4,3,3,4,3,4,4,4,3.75,0.428571428571429,4,3.5,3.5,3.66666666666667,"mod"
"72","R_0NWm8NqMQpep25X",73,0,0,1,1,1,1,0,1,1,1,1,1,1,1,4,4,4,5,5,4,5,3,4,4,4,3,4,3,3,2,5,3,4,4,4,4,4,4,3,3,3,4,3.25,0.785714285714286,4.25,3.375,4,3.875,"mod"
"73","R_0O2jr9Wjl5d74HL",14,1,0,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,2,3,4,5,3.5,0.785714285714286,5,4.625,5,4.875,"mod"
"74","R_0O2oRCHDNC5mazL",69,0,0,1,0,1,1,1,0,1,1,1,1,1,0,4,5,5,2,5,5,5,4,4,2,4,3,4,4,4,3,2,3,4,4,4,4,4,3,1,3,3,3,2.5,0.642857142857143,4.375,3.5,3.5,3.79166666666667,"mod"
"75","R_0okdJxUQvqXfQRj",68,1,0,1,1,1,1,0,1,0,1,1,1,0,0,4,5,4,5,5,4,5,5,5,5,5,4,3,4,5,1,4,4,4,5,5,5,4,5,2,3,3,4,3,0.642857142857143,4.625,4,4.5,4.375,"mod"
"76","R_0olRSbnbDZLAkM1",40,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,4,5,4,5,4,4,5,5,5,4,4,5,4,4,2,5,4,5,5,3,4,3,4,3.5,0.928571428571429,4.625,4.5,4.25,4.45833333333333,"mod"
"77","R_0oLUEkDyKzqt9qF",57,1,0,1,1,1,1,1,1,0,1,0,0,0,0,4,4,4,4,3,3,4,3,4,3,3,2,4,3,4,2,3,2,2,3,2,2,3,4,2,4,3,3,3,0.571428571428571,3.625,3.125,2.625,3.125,"mod"
"78","R_0oXTXY2dvqAjvhL",55,0,0,1,1,1,1,1,0,0,0,1,0,0,0,4,4,4,4,4,4,3,3,3,4,3,2,4,3,3,2,2,2,2,2,3,2,3,4,4,5,4,4,4.25,0.428571428571429,3.75,3,2.5,3.08333333333333,"high"
"79","R_0pH7A2znUxOIdgZ",57,1,0,1,1,1,1,1,1,0,0,1,1,1,0,5,3,2,2,4,1,3,2,1,2,2,4,5,1,2,1,2,4,4,5,3,2,2,4,3,4,3,4,3.5,0.714285714285714,2.75,2.25,3.25,2.75,"mod"
"80","R_0PL4VkM6khBlsD7",58,1,0,1,1,1,1,1,0,0,1,1,0,0,0,5,5,4,4,4,4,4,4,3,4,4,1,4,4,4,1,1,3,4,2,4,4,2,4,5,5,5,5,5,0.571428571428571,4.25,3.125,3,3.45833333333333,"high"
"81","R_0PLlMMdE7Rivcg9",8,0,0,1,1,1,1,1,1,0,1,0,1,0,1,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,4,4,4,2,3,4,3,3,2,4,4,4,3.5,0.642857142857143,4,3.625,3.375,3.66666666666667,"mod"
"82","R_0PnwzJPcPp6wRvb",40,1,0,0,0,0,1,1,1,0,1,1,1,0,1,4,4,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,2,1,1,1.25,0.571428571428571,4.75,4.625,5,4.79166666666667,"low"
"83","R_0polagkIXNs748V",28,1,0,1,1,1,1,1,1,1,1,1,1,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,5,4,2,3,5,5,1,4,2,4,2.75,0.857142857142857,5,4.75,3.75,4.5,"mod"
"84","R_0PRNSDrHsZaaNXP",71,1,0,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,3,4,0.857142857142857,5,5,4.875,4.95833333333333,"high"
"85","R_0pSlWzdaFoGlFn3",63,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,5,5,4,5,4,4,5,5,4,4,5,4,2,4,5,5,4,5,5,4,4,1,1,1,1,1,0.928571428571429,4.5,4.125,4.5,4.375,"low"
"86","R_0PStGvLcGB4QTS1",62,0,0,1,0,1,1,1,0,0,0,1,0,1,0,4,5,4,5,5,5,5,5,5,4,5,4,4,3,3,3,4,3,2,4,4,4,4,4,2,3,2,2,2.25,0.428571428571429,4.75,3.875,3.625,4.08333333333333,"mod"
"87","R_0pu05hf7e9Jb7sB",15,1,1,1,1,0,1,1,0,1,1,1,1,0,1,5,5,5,5,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,3,0.785714285714286,4.75,4.125,4,4.29166666666667,"mod"
"88","R_0PWob8TXRr1W1nX",51,0,1,1,0,0,1,1,0,0,0,1,1,1,0,4,4,4,5,4,3,5,4,5,4,4,3,5,5,4,3,4,3,3,5,3,3,4,4,1,3,2,5,2.75,0.5,4.125,4.125,3.625,3.95833333333333,"mod"
"89","R_0q5NAhYCiNNNb9v",1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,5,5,3,5,4,3,4,3,4,3,3,4,4,2,4,4,3,4,4,4,4,4,3,3,2,3,3,3,2.75,0.785714285714286,4,3.5,3.625,3.70833333333333,"mod"
"90","R_0qDo1HAfXBxtEcx",56,0,0,1,1,1,1,1,1,1,0,1,1,0,0,4,5,4,3,4,4,5,5,4,4,4,3,5,3,3,4,4,3,3,4,3,3,4,4,4,5,4,5,4.5,0.642857142857143,4.25,3.75,3.5,3.83333333333333,"high"
"91","R_0qU3LiPP22iTtZf",73,1,0,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,2,3,3,3,2.75,0.928571428571429,5,4.75,5,4.91666666666667,"mod"
"92","R_0qWa1T4FTgSBDCp",8,1,1,0,1,1,1,1,1,0,1,1,1,0,1,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,3,3,4,3,4,5,5,4,5,4.75,0.785714285714286,4,3.625,3.5,3.70833333333333,"high"
"93","R_0rBMPPaevWp87eh",40,0,0,0,1,1,0,1,1,0,1,1,0,0,0,4,3,3,3,2,4,3,3,4,2,3,3,1,4,3,4,4,3,2,4,3,2,4,4,5,5,5,5,5,0.428571428571429,3.125,3,3.25,3.125,"high"
"94","R_0rEpXyZoHTPlVlf",62,0,0,1,1,1,1,1,0,1,1,1,1,0,1,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,4,5,5,5,5,5,3,5,1,5,4,4,3.5,0.714285714285714,5,4.5,4.625,4.70833333333333,"mod"
"95","R_0rFIOgO81iI803T",64,0,0,1,1,1,1,1,1,1,1,1,1,1,0,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4,5,5,5,5,5,5,5,2,5,2,3,3,0.785714285714286,5,4.625,4.875,4.83333333333333,"mod"
"96","R_0rjQ61MSo3tNVvz",65,1,0,1,0,0,1,1,0,1,1,1,0,1,0,4,5,5,4,4,5,4,5,5,1,5,5,5,4,5,5,5,1,1,5,5,1,5,5,3,3,3,3,3,0.571428571428571,4.5,4.375,3.5,4.125,"mod"
"97","R_0rlJQo37sFVBXEd",74,1,0,1,0,1,1,1,0,0,0,1,0,0,0,3,5,5,2,2,3,2,3,5,3,5,4,3,2,3,4,5,3,3,4,5,5,3,3,3,4,4,5,4,0.428571428571429,3.125,3.625,3.875,3.54166666666667,"high"
"98","R_0Te948HkgZpEREJ",28,0,0,0,0,1,1,1,0,0,0,1,0,1,0,4,4,4,4,4,4,4,4,4,2,4,5,4,4,4,5,4,2,2,4,4,2,4,4,4,3,3,4,3.5,0.357142857142857,4,4,3.25,3.75,"mod"
